Acceleration: X [raw] , Acceleration: Y [raw] , Acceleration: Z [raw] , Pressure [raw] , Temperature [raw] , Cycle time [s] 
1987,459,3506,100,33,5360
1998,535,3513,100,33,5380
2021,512,3512,100,33,5400
1965,479,3530,100,33,5420
1954,470,3593,100,33,5440
1927,531,3584,100,33,5460
1873,604,3554,100,33,5480
1868,635,3577,100,33,5500
1932,585,3620,100,33,5520
1957,584,3561,100,33,5540
1997,545,3573,100,33,5560
2055,489,3600,100,33,5580
2083,421,3584,100,33,5600
2066,439,3544,100,33,5620
2040,492,3546,100,33,5640
2031,416,3601,100,33,5660
2035,439,3548,100,33,5680
1853,542,3606,100,33,5700
1807,623,3607,100,33,5720
1855,672,3654,100,33,5740
1882,709,3640,100,33,5760
1938,658,3666,100,33,5780
